Date,Open,High,Low,Close,Adj Close,Volume
2017-03-02,23621.0,23621.0,23612.0,23621.0,23621.0,0
2017-03-03,23612.0,23674.0,23612.0,23612.0,23612.0,0
2017-03-06,23674.0,23728.0,23674.0,23674.0,23674.0,0
2017-03-07,23728.0,23728.0,23716.0,23728.0,23728.0,0
2017-03-08,23716.0,23716.0,23678.0,23716.0,23716.0,0
2017-03-09,23678.0,23682.0,23678.0,23678.0,23678.0,0
2017-03-10,23682.0,23785.0,23682.0,23682.0,23682.0,0
2017-03-13,23785.0,23928.0,23785.0,23785.0,23785.0,0
2017-03-14,23928.0,23928.0,23847.0,23928.0,23928.0,0
2017-03-15,23847.0,23850.0,23847.0,23847.0,23847.0,0
2017-03-16,23850.0,24030.0,23850.0,23850.0,23850.0,0
2017-03-17,24030.0,24058.0,24030.0,24030.0,24030.0,0
2017-03-20,24058.0,24101.0,24058.0,24058.0,24058.0,0
2017-03-21,24101.0,24225.0,24101.0,24101.0,24101.0,0
2017-03-22,24225.0,24225.0,24166.0,24225.0,24225.0,0
2017-03-23,24166.0,24184.0,24166.0,24166.0,24166.0,0
2017-03-24,24184.0,24225.0,24184.0,24184.0,24184.0,0
2017-03-27,24225.0,24345.0,24225.0,24225.0,24225.0,0
2017-03-28,24345.0,24345.0,24320.0,24345.0,24345.0,0
2017-03-29,24320.0,24320.0,24166.0,24320.0,24320.0,0
2017-03-30,24166.0,24166.0,24054.0,24166.0,24166.0,0
2017-03-31,24054.0,24054.0,23905.0,24054.0,24054.0,0
2017-04-03,23905.0,23905.0,23824.0,23905.0,23905.0,0
2017-04-04,23824.0,23824.0,23752.0,23824.0,23824.0,0
2017-04-05,23752.0,23811.0,23752.0,23752.0,23752.0,0
2017-04-06,23811.0,23811.0,23796.0,23811.0,23811.0,0
2017-04-07,23796.0,23796.0,23687.0,23796.0,23796.0,0
2017-04-10,23687.0,23687.0,23571.0,23687.0,23687.0,0
2017-04-11,23571.0,23641.0,23571.0,23571.0,23571.0,0
2017-04-12,23641.0,23641.0,23637.0,23641.0,23641.0,0
2017-04-13,23637.0,23724.0,23637.0,23637.0,23637.0,0
2017-04-14,23724.0,23724.0,23724.0,23724.0,23724.0,0
2017-04-17,23724.0,23724.0,23724.0,23724.0,23724.0,0
2017-04-18,23724.0,23856.0,23724.0,23724.0,23724.0,0
2017-04-19,23856.0,23990.0,23856.0,23856.0,23856.0,0
2017-04-20,23990.0,24047.0,23990.0,23990.0,23990.0,0
2017-04-21,24047.0,24047.0,23910.0,24047.0,24047.0,0
2017-04-24,23910.0,24270.0,23910.0,23910.0,23910.0,0
2017-04-25,24270.0,24366.0,24270.0,24270.0,24270.0,0
2017-04-26,24366.0,24371.0,24366.0,24366.0,24366.0,0
2017-04-27,24371.0,24374.0,24371.0,24371.0,24371.0,0
2017-04-28,24374.0,24478.0,24374.0,24374.0,24374.0,0
2017-05-01,24478.0,24478.0,24478.0,24478.0,24478.0,0
2017-05-02,24478.0,24478.0,24436.0,24478.0,24478.0,0
2017-05-03,24436.0,24436.0,24412.0,24436.0,24436.0,0
2017-05-04,24412.0,24467.0,24412.0,24412.0,24412.0,0
2017-05-05,24467.0,24513.0,24467.0,24467.0,24467.0,0
2017-05-08,24513.0,24513.0,24490.0,24513.0,24513.0,0
2017-05-09,24490.0,24490.0,24370.0,24490.0,24490.0,0
2017-05-10,24370.0,24370.0,24316.0,24370.0,24370.0,0
2017-05-11,24316.0,24316.0,24302.0,24316.0,24316.0,0
2017-05-12,24302.0,24302.0,24279.0,24302.0,24302.0,0
2017-05-15,24279.0,24481.0,24279.0,24279.0,24279.0,0
2017-05-16,24481.0,24673.0,24481.0,24481.0,24481.0,0
2017-05-17,24673.0,24800.0,24673.0,24673.0,24673.0,0
2017-05-18,24800.0,24867.0,24800.0,24800.0,24800.0,0
2017-05-19,24867.0,24944.0,24867.0,24867.0,24867.0,0
2017-05-22,24944.0,25088.0,24944.0,24944.0,24944.0,0
2017-05-23,25088.0,25098.0,25088.0,25088.0,25088.0,0
2017-05-24,25098.0,25098.0,24981.0,25098.0,25098.0,0
2017-05-25,24981.0,25050.0,24981.0,24981.0,24981.0,0
2017-05-26,25050.0,25104.0,25050.0,25050.0,25050.0,0
2017-05-29,25104.0,25104.0,25033.0,25104.0,25104.0,0
2017-05-30,25033.0,25033.0,24931.0,25033.0,25033.0,0
2017-05-31,24931.0,25070.0,24931.0,24931.0,24931.0,0
2017-06-01,25070.0,25096.0,25070.0,25070.0,25070.0,0
2017-06-02,25096.0,25096.0,25077.0,25096.0,25096.0,0
2017-06-05,25077.0,25141.0,25077.0,25077.0,25077.0,0
2017-06-06,25141.0,25160.0,25141.0,25141.0,25141.0,0
2017-06-07,25160.0,25160.0,25053.0,25160.0,25160.0,0
2017-06-08,25053.0,25092.0,25053.0,25053.0,25053.0,0
2017-06-09,25092.0,25092.0,24968.0,25092.0,25092.0,0
2017-06-12,24968.0,25053.0,24968.0,24968.0,24968.0,0
2017-06-13,25053.0,25053.0,25031.0,25053.0,25053.0,0
2017-06-14,25031.0,25040.0,25031.0,25031.0,25031.0,0
2017-06-15,25040.0,25040.0,24942.0,25040.0,25040.0,0
2017-06-16,24942.0,24962.0,24942.0,24942.0,24942.0,0
2017-06-19,24962.0,25064.0,24962.0,24962.0,24962.0,0
2017-06-20,25064.0,25064.0,24945.0,25064.0,25064.0,0
2017-06-21,24945.0,24945.0,24938.0,24945.0,24945.0,0
2017-06-22,24938.0,24974.0,24938.0,24938.0,24938.0,0
2017-06-23,24974.0,24976.0,24974.0,24974.0,24974.0,0
2017-06-26,24976.0,25016.0,24976.0,24976.0,24976.0,0
2017-06-27,25016.0,25212.0,25016.0,25016.0,25016.0,0
2017-06-28,25212.0,25435.0,25212.0,25212.0,25212.0,0
2017-06-29,25435.0,25535.0,25435.0,25435.0,25435.0,0
2017-06-30,25535.0,25535.0,25520.0,25535.0,25535.0,0
2017-07-03,25520.0,25520.0,25462.0,25520.0,25520.0,0
2017-07-04,25462.0,25462.0,25409.0,25462.0,25462.0,0
2017-07-05,25409.0,25409.0,25344.0,25409.0,25409.0,0
2017-07-06,25344.0,25449.0,25344.0,25344.0,25344.0,0
2017-07-07,25449.0,25555.0,25449.0,25449.0,25449.0,0
2017-07-10,25555.0,25555.0,25519.0,25555.0,25555.0,0
2017-07-12,25504.0,25636.0,25504.0,25504.0,25504.0,0
2017-07-13,25636.0,25636.0,25488.0,25636.0,25636.0,0
2017-07-14,25488.0,25547.0,25488.0,25488.0,25488.0,0
2017-07-17,25547.0,25643.0,25547.0,25547.0,25547.0,0
2017-07-18,25643.0,25868.0,25643.0,25643.0,25643.0,0
2017-07-19,25868.0,25868.0,25800.0,25868.0,25868.0,0
2017-07-20,25800.0,25800.0,25758.0,25800.0,25800.0,0
2017-07-21,25758.0,26073.0,25758.0,25758.0,25758.0,0
2017-07-24,26073.0,26078.0,26073.0,26073.0,26073.0,0
2017-07-25,26078.0,26086.0,26078.0,26078.0,26078.0,0
2017-07-26,26086.0,26086.0,26065.0,26086.0,26086.0,0
2017-07-27,26065.0,26206.0,26065.0,26065.0,26065.0,0
2017-07-28,26206.0,26209.0,26206.0,26206.0,26206.0,0
2017-07-31,26209.0,26261.0,26209.0,26209.0,26209.0,0
2017-08-01,26261.0,26444.0,26261.0,26261.0,26261.0,0
2017-08-02,26444.0,26496.0,26444.0,26444.0,26444.0,0
2017-08-03,26496.0,26511.0,26496.0,26496.0,26496.0,0
2017-08-04,26511.0,26587.0,26511.0,26511.0,26511.0,0
2017-08-07,26587.0,26587.0,26420.0,26587.0,26587.0,0
2017-08-08,26420.0,26459.0,26420.0,26420.0,26420.0,0
2017-08-09,26459.0,26459.0,26276.0,26459.0,26459.0,0
2017-08-10,26276.0,26276.0,26247.0,26276.0,26276.0,0
2017-08-11,26247.0,26327.0,26247.0,26247.0,26247.0,0
2017-08-14,26327.0,26416.0,26327.0,26327.0,26327.0,0
2017-08-15,26416.0,26416.0,26304.0,26416.0,26416.0,0
2017-08-16,26304.0,26304.0,26195.0,26304.0,26304.0,0
2017-08-17,26195.0,26195.0,26187.0,26195.0,26195.0,0
2017-08-18,26187.0,26303.0,26187.0,26187.0,26187.0,0
