Date,Open,High,Low,Close,Adj Close,Volume
2017-03-02,27538.0,27557.0,27538.0,27539.0,27539.0,0
2017-03-03,27566.0,27566.0,27461.0,27568.0,27568.0,0
2017-03-06,27422.0,27498.0,27422.0,27462.0,27462.0,0
2017-03-07,27455.0,27455.0,27354.0,27498.0,27498.0,0
2017-03-08,27387.0,27387.0,27256.0,27337.0,27337.0,0
2017-03-09,27335.0,27335.0,27254.0,27241.0,27241.0,0
2017-03-10,27202.0,27230.0,27202.0,27216.0,27216.0,0
2017-03-13,27081.0,27416.0,27081.0,27114.0,27114.0,0
2017-03-14,27419.0,27419.0,27211.0,27415.0,27415.0,0
2017-03-15,27319.0,27376.0,27319.0,27317.0,27317.0,0
2017-03-16,27269.0,27671.0,27269.0,27314.0,27314.0,0
2017-03-17,27573.0,27680.0,27573.0,27488.0,27488.0,0
2017-03-20,27711.0,27765.0,27711.0,27758.0,27758.0,0
2017-03-21,27714.0,27931.0,27714.0,27740.0,27740.0,0
2017-03-22,27986.0,27986.0,27877.0,27935.0,27935.0,0
2017-03-23,27945.0,28037.0,27945.0,27940.0,27940.0,0
2017-03-24,28061.0,28061.0,28014.0,28080.0,28080.0,0
2017-03-27,27950.0,28206.0,27950.0,27983.0,27983.0,0
2017-03-28,28149.0,28149.0,28140.0,28140.0,28140.0,0
2017-03-29,27920.0,27920.0,27876.0,28014.0,28014.0,0
2017-03-30,27941.0,27941.0,27907.0,27924.0,27924.0,0
2017-03-31,28081.0,28081.0,27878.0,28081.0,28081.0,0
2017-04-03,28097.0,28097.0,27957.0,28170.0,28170.0,0
2017-04-04,27889.0,27889.0,27742.0,27880.0,27880.0,0
2017-04-05,27670.0,27848.0,27670.0,27780.0,27780.0,0
2017-04-06,27862.0,27862.0,27790.0,27865.0,27865.0,0
2017-04-07,27875.0,27875.0,27685.0,27879.0,27879.0,0
2017-04-10,27675.0,27675.0,27637.0,27691.0,27691.0,0
2017-04-11,27633.0,27684.0,27633.0,27637.0,27637.0,0
2017-04-12,27831.0,27861.0,27831.0,27684.0,27684.0,0
2017-04-13,27798.0,27962.0,27798.0,27861.0,27861.0,0
2017-04-14,27943.0,27943.0,27943.0,27962.0,27962.0,0
2017-04-17,28024.0,28024.0,27991.0,27973.0,27973.0,0
2017-04-18,27988.0,28307.0,27988.0,27973.0,27973.0,0
2017-04-19,28563.0,28723.0,28563.0,28561.0,28561.0,0
2017-04-20,28617.0,28630.0,28617.0,28626.0,28626.0,0
2017-04-21,28733.0,28733.0,28543.0,28739.0,28739.0,0
2017-04-24,28201.0,28668.0,28141.0,28587.0,28587.0,0
2017-04-25,28544.0,28700.0,28543.0,28561.0,28561.0,0
2017-04-26,28609.0,28689.0,28609.0,28622.0,28622.0,0
2017-04-27,28702.0,28845.0,28702.0,28704.0,28704.0,0
2017-04-28,28921.0,28987.0,28921.0,28924.0,28924.0,0
2017-05-01,29025.0,29025.0,29025.0,29088.0,29088.0,0
2017-05-02,28939.0,28939.0,28921.0,28937.0,28937.0,0
2017-05-03,28913.0,28922.0,28913.0,28926.0,28926.0,0
2017-05-04,28863.0,28863.0,28847.0,28852.0,28852.0,0
2017-05-05,28800.0,28932.0,28800.0,28791.0,28791.0,0
2017-05-08,28991.0,28991.0,28990.0,28934.0,28934.0,0
2017-05-09,29003.0,29003.0,28904.0,29013.0,29013.0,0
2017-05-10,28988.0,28988.0,28957.0,28991.0,28991.0,0
2017-05-11,28934.0,28934.0,28802.0,28946.0,28946.0,0
2017-05-12,28828.0,28828.0,28702.0,28839.0,28839.0,0
2017-05-15,28625.0,28860.0,28625.0,28699.0,28699.0,0
2017-05-16,28766.0,28766.0,28750.0,28768.0,28768.0,0
2017-05-17,28727.0,28950.0,28727.0,28725.0,28725.0,0
2017-05-18,28837.0,29101.0,28837.0,28820.0,28820.0,0
2017-05-19,28996.0,29042.0,28996.0,28978.0,28978.0,0
2017-05-22,28967.0,29015.0,28935.0,29064.0,29064.0,0
2017-05-23,29007.0,29007.0,28978.0,29021.0,29021.0,0
2017-05-24,29086.0,29086.0,28954.0,29094.0,29094.0,0
2017-05-25,28866.0,28955.0,28866.0,28883.0,28883.0,0
2017-05-26,28891.0,28891.0,28752.0,28899.0,28899.0,0
2017-05-29,28784.0,28784.0,28740.0,28752.0,28752.0,0
2017-05-30,28820.0,28820.0,28774.0,28775.0,28775.0,0
2017-05-31,28581.0,28690.0,28581.0,28551.0,28551.0,0
2017-06-01,28717.0,28733.0,28717.0,28714.0,28714.0,0
2017-06-02,28840.0,28840.0,28722.0,28834.0,28834.0,0
2017-06-05,28612.0,28851.0,28612.0,28653.0,28653.0,0
2017-06-06,28823.0,28874.0,28823.0,28855.0,28855.0,0
2017-06-07,28814.0,28840.0,28814.0,28804.0,28804.0,0
2017-06-08,28856.0,28917.0,28856.0,28840.0,28840.0,0
2017-06-09,28537.0,28537.0,28488.0,28549.0,28549.0,0
